0x8FA2AF	0x02D8
0x8FB1D0	0x5010
0x8FB1D1	0x5013
0x8FB1D2	0x5017
0x8FB1D3	0x5018
0x8FB1D4	0x501B
0x8FB1D5	0x501C
0x8FB1D6	0x501D
0x8FB1D7	0x501E
0x8FB1D8	0x5022
0x8FB1D9	0x5027
0x8FB1DA	0x502E
0x8FB1DB	0x5030
0x8FB1DC	0x5032
0x8FB1DD	0x5033
0x8FB1DE	0x5035
0x8FB1DF	0x5040
0x8FB1E0	0x5041
0x8FB1E1	0x5042
0x8FB1E2	0x5045
0x8FB1E3	0x5046
0x8FB1E4	0x504A
0x8FB1E5	0x504C
0x8FB1E6	0x504E
0x8FB1E7	0x5051
0x8FB1E8	0x5052
0x8FB1E9	0x5053
0x8FB1EA	0x5057
0x8FB1EB	0x5059
0x8FB1EC	0x505F
0x8FB1ED	0x5060
0x8FB1EE	0x5062
0x8FB1EF	0x5063
0x8FB1F0	0x5066
0x8FB1F1	0x5067
0x8FB1F2	0x506A
0x8FB1F3	0x506D
0x8FB1F4	0x5070
0x8FB1F5	0x5071
0x8FB1F6	0x503B
0x8FB1F7	0x5081
0x8FB1F8	0x5083
0x8FB1F9	0x5084
0x8FB1FA	0x5086
0x8FB1FB	0x508A
0x8FB1FC	0x508E
0x8FB1FD	0x508F
0x8FB1FE	0x5090
0x8FB2A1	0x5092
0x8FB2A2	0x5093
0x8FB2A3	0x5094
0x8FB2A4	0x5096
0x8FB2A5	0x509B
0x8FB2A6	0x509C
0x8FB2A7	0x509E
0x8FB2A8	0x509F
0x8FB2A9	0x50A0
0x8FB2AA	0x50A1
0x8FB2AB	0x50A2
0x8FB2AC	0x50AA
0x8FB2AD	0x50AF
0x8FB2AE	0x50B0
0x8FB2AF	0x50B9
0x8FB2B0	0x50BA
0x8FB2B1	0x50BD
0x8FB2B2	0x50C0
0x8FB2B3	0x50C3
0x8FB2B4	0x50C4
0x8FB2B5	0x50C7
0x8FB2B6	0x50CC
0x8FB2B7	0x50CE
0x8FB2B8	0x50D0
0x8FB2B9	0x50D3
0x8FB2BA	0x50D4
0x8FB2BB	0x50D8
0x8FB2BC	0x50DC
0x8FB2BD	0x50DD
0x8FB2BE	0x50DF
0x8FB2BF	0x50E2
0x8FB2C0	0x50E4
0x8FB2C1	0x50E6
0x8FB2C2	0x50E8
0x8FB2C3	0x50E9
0x8FB2C4	0x50EF
0x8FB2C5	0x50F1
0x8FB2C6	0x50F6
0x8FB2C7	0x50FA
0x8FB2C8	0x50FE
0x8FB2C9	0x5103
0x8FB2CA	0x5106
0x8FB2CB	0x5107
0x8FB2CC	0x5108
0x8FB2CD	0x510B
0x8FB2CE	0x510C
0x8FB2CF	0x510D
0x8FB2D0	0x510E
0x8FB2D1	0x50F2
0x8FB2D2	0x5110
0x8FB2D3	0x5117
0x8FB2D4	0x5119
0x8FB2D5	0x511B
0x8FB2D6	0x511C
0x8FB2D7	0x511D
0x8FB2D8	0x511E
0x8FB2D9	0x5123
0x8FB2DA	0x5127
0x8FB2DB	0x5128
0x8FB2DC	0x512C
0x8FB2DD	0x512D
0x8FB2DE	0x512F
0x8FB2DF	0x5131
0x8FB2E0	0x5133
0x8FB2E1	0x5134
0x8FB2E2	0x5135
0x8FB2E3	0x5138
0x8FB2E4	0x5139
0x8FB2E5	0x5142
0x8FB2E6	0x514A
0x8FB2E7	0x514F
0x8FB2E8	0x5153
0x8FB2E9	0x5155
0x8FB2EA	0x5157
0x8FB2EB	0x5158
0x8FB2EC	0x515F
0x8FB2ED	0x5164
0x8FB2EE	0x5166
0x8FB2EF	0x517E
0x8FB2F0	0x5183
0x8FB2F1	0x5184
0x8FB2F2	0x518B
0x8FB2F3	0x518E
0x8FB2F4	0x5198
0x8FB2F5	0x519D
0x8FB2F6	0x51A1
0x8FB2F7	0x51A3
0x8FB2F8	0x51AD
0x8FB2F9	0x51B8
0x8FB2FA	0x51BA
0x8FB2FB	0x51BC
0x8FB2FC	0x51BE
0x8FB2FD	0x51BF
0x8FB2FE	0x51C2
0x8FB3A1	0x51C8
0x8FB3A2	0x51CF
0x8FB3A3	0x51D1
0x8FB3A4	0x51D2
0x8FB3A5	0x51D3
0x8FB3A6	0x51D5
0x8FB3A7	0x51D8
0x8FB3A8	0x51DE
0x8FB3A9	0x51E2
0x8FB3AA	0x51E5
0x8FB3AB	0x51EE
0x8FB3AC	0x51F2
0x8FB3AD	0x51F3
0x8FB3AE	0x51F4
0x8FB3AF	0x51F7
0x8FB3B0	0x5201
0x8FB3B1	0x5202
0x8FB3B2	0x5205
0x8FB3B3	0x5212
0x8FB3B4	0x5213
0x8FB3B5	0x5215
0x8FB3B6	0x5216
0x8FB3B7	0x5218
0x8FB3B8	0x5222
0x8FB3B9	0x5228
0x8FB3BA	0x5231
0x8FB3BB	0x5232
0x8FB3BC	0x5235
0x8FB3BD	0x523C
0x8FB3BE	0x5245
0x8FB3BF	0x5249
0x8FB3C0	0x5255
0x8FB3C1	0x5257
0x8FB3C2	0x5258
0x8FB3C3	0x525A
0x8FB3C4	0x525C
0x8FB3C5	0x525F
0x8FB3C6	0x5260
0x8FB3C7	0x5261
0x8FB3C8	0x5266
0x8FB3C9	0x526E
0x8FB3CA	0x5277
0x8FB3CB	0x5278
0x8FB3CC	0x5279
0x8FB3CD	0x5280
0x8FB3CE	0x5282
0x8FB3CF	0x5285
0x8FB3D0	0x528A
0x8FB3D1	0x528C
0x8FB3D2	0x5293
0x8FB3D3	0x5295
0x8FB3D4	0x5296
0x8FB3D5	0x5297
0x8FB3D6	0x5298
0x8FB3D7	0x529A
0x8FB3D8	0x529C
0x8FB3D9	0x52A4
0x8FB3DA	0x52A5
0x8FB3DB	0x52A6
0x8FB3DC	0x52A7
0x8FB3DD	0x52AF
0x8FB3DE	0x52B0
0x8FB3DF	0x52B6
0x8FB3E0	0x52B7
0x8FB3E1	0x52B8
0x8FB3E2	0x52BA
0x8FB3E3	0x52BB
0x8FB3E4	0x52BD
0x8FB3E5	0x52C0
0x8FB3E6	0x52C4
0x8FB3E7	0x52C6
0x8FB3E8	0x52C8
0x8FB3E9	0x52CC
0x8FB3EA	0x52CF
0x8FB3EB	0x52D1
0x8FB3EC	0x52D4
0x8FB3ED	0x52D6
0x8FB3EE	0x52DB
0x8FB3EF	0x52DC
0x8FB3F0	0x52E1
0x8FB3F1	0x52E5
0x8FB3F2	0x52E8
0x8FB3F3	0x52E9
0x8FB3F4	0x52EA
0x8FB3F5	0x52EC
0x8FB3F6	0x52F0
0x8FB3F7	0x52F1
0x8FB3F8	0x52F4
0x8FB3F9	0x52F6
0x8FB3FA	0x52F7
0x8FB3FB	0x5300
0x8FB3FC	0x5303
0x8FB3FD	0x530A
0x8FB3FE	0x530B
0x8FB4A1	0x530C
0x8FB4A2	0x5311
0x8FB4A3	0x5313
0x8FB4A4	0x5318
0x8FB4A5	0x531B
0x8FB4A6	0x531C
0x8FB4A7	0x531E
0x8FB4A8	0x531F
0x8FB4A9	0x5325
0x8FB4AA	0x5327
0x8FB4AB	0x5328
0x8FB4AC	0x5329
0x8FB4AD	0x532B
0x8FB4AE	0x532C
0x8FB4AF	0x532D
0x8FB4B0	0x5330
0x8FB4B1	0x5332
0x8FB4B2	0x5335
0x8FB4B3	0x533C
0x8FB4B4	0x533D
0x8FB4B5	0x533E
0x8FB4B6	0x5342
0x8FB4B7	0x534C
0x8FB4B8	0x534B
0x8FB4B9	0x5359
0x8FB4BA	0x535B
0x8FB4BB	0x5361
0x8FB4BC	0x5363
0x8FB4BD	0x5365
0x8FB4BE	0x536C
0x8FB4BF	0x536D
0x8FB4C0	0x5372
0x8FB4C1	0x5379
0x8FB4C2	0x537E
0x8FB4C3	0x5383
0x8FB4C4	0x5387
0x8FB4C5	0x5388
0x8FB4C6	0x538E
0x8FB4C7	0x5393
0x8FB4C8	0x5394
0x8FB4C9	0x5399
0x8FB4CA	0x539D
0x8FB4CB	0x53A1
0x8FB4CC	0x53A4
0x8FB4CD	0x53AA
0x8FB4CE	0x53AB
0x8FB4CF	0x53AF
0x8FB4D0	0x53B2
0x8FB4D1	0x53B4
0x8FB4D2	0x53B5
0x8FB4D3	0x53B7
0x8FB4D4	0x53B8
0x8FB4D5	0x53BA
0x8FB4D6	0x53BD
0x8FB4D7	0x53C0
0x8FB4D8	0x53C5
0x8FB4D9	0x53CF
0x8FB4DA	0x53D2
0x8FB4DB	0x53D3
0x8FB4DC	0x53D5
0x8FB4DD	0x53DA
0x8FB4DE	0x53DD
0x8FB4DF	0x53DE
0x8FB4E0	0x53E0
0x8FB4E1	0x53E6
0x8FB4E2	0x53E7
0x8FB4E3	0x53F5
0x8FB4E4	0x5402
0x8FB4E5	0x5413
0x8FB4E6	0x541A
0x8FB4E7	0x5421
0x8FB4E8	0x5427
0x8FB4E9	0x5428
0x8FB4EA	0x542A
0x8FB4EB	0x542F
0x8FB4EC	0x5431
0x8FB4ED	0x5434
0x8FB4EE	0x5435
0x8FB4EF	0x5443
0x8FB4F0	0x5444
0x8FB4F1	0x5447
0x8FB4F2	0x544D
0x8FB4F3	0x544F
0x8FB4F4	0x545E
0x8FB4F5	0x5462
0x8FB4F6	0x5464
0x8FB4F7	0x5466
0x8FB4F8	0x5467
0x8FB4F9	0x5469
0x8FB4FA	0x546B
0x8FB4FB	0x546D
0x8FB4FC	0x546E
0x8FB4FD	0x5474
0x8FB4FE	0x547F
0x8FB5A1	0x5481
0x8FB5A2	0x5483
0x8FB5A3	0x5485
0x8FB5A4	0x5488
0x8FB5A5	0x5489
0x8FB5A6	0x548D
0x8FB5A7	0x5491
0x8FB5A8	0x5495
0x8FB5A9	0x5496
0x8FB5AA	0x549C
0x8FB5AB	0x549F
0x8FB5AC	0x54A1
0x8FB5AD	0x54A6
0x8FB5AE	0x54A7
0x8FB5AF	0x54A9
0x8FB5B0	0x54AA
0x8FB5B1	0x54AD
0x8FB5B2	0x54AE
0x8FB5B3	0x54B1
0x8FB5B4	0x54B7
0x8FB5B5	0x54B9
0x8FB5B6	0x54BA
0x8FB5B7	0x54BB
0x8FB5B8	0x54BF
0x8FB5B9	0x54C6
0x8FB5BA	0x54CA
0x8FB5BB	0x54CD
0x8FB5BC	0x54CE
0x8FB5BD	0x54E0
0x8FB5BE	0x54EA
0x8FB5BF	0x54EC
0x8FB5C0	0x54EF
0x8FB5C1	0x54F6
0x8FB5C2	0x54FC
0x8FB5C3	0x54FE
0x8FB5C4	0x54FF
0x8FB5C5	0x5500
0x8FB5C6	0x5501
0x8FB5C7	0x5505
0x8FB5C8	0x5508
0x8FB5C9	0x5509
0x8FB5CA	0x550C
0x8FB5CB	0x550D
0x8FB5CC	0x550E
0x8FB5CD	0x5515
0x8FB5CE	0x552A
0x8FB5CF	0x552B
0x8FB5D0	0x5532
0x8FB5D1	0x5535
0x8FB5D2	0x5536
0x8FB5D3	0x553B
0x8FB5D4	0x553C
0x8FB5D5	0x553D
0x8FB5D6	0x5541
0x8FB5D7	0x5547
0x8FB5D8	0x5549
0x8FB5D9	0x554A
0x8FB5DA	0x554D
0x8FB5DB	0x5550
0x8FB5DC	0x5551
0x8FB5DD	0x5558
0x8FB5DE	0x555A
0x8FB5DF	0x555B
0x8FB5E0	0x555E
0x8FB5E1	0x5560
0x8FB5E2	0x5561
0x8FB5E3	0x5564
0x8FB5E4	0x5566
0x8FB5E5	0x557F
0x8FB5E6	0x5581
0x8FB5E7	0x5582
0x8FB5E8	0x5586
0x8FB5E9	0x5588
0x8FB5EA	0x558E
0x8FB5EB	0x558F
0x8FB5EC	0x5591
0x8FB5ED	0x5592
0x8FB5EE	0x5593
0x8FB5EF	0x5594
0x8FB5F0	0x5597
0x8FB5F1	0x55A3
0x8FB5F2	0x55A4
0x8FB5F3	0x55AD
0x8FB5F4	0x55B2
0x8FB5F5	0x55BF
0x8FB5F6	0x55C1
0x8FB5F7	0x55C3
0x8FB5F8	0x55C6
0x8FB5F9	0x55C9
0x8FB5FA	0x55CB
0x8FB5FB	0x55CC
0x8FB5FC	0x55CE
0x8FB5FD	0x55D1
0x8FB5FE	0x55D2
0x8FB6A1	0x55D3
0x8FB6A2	0x55D7
0x8FB6A3	0x55D8
0x8FB6A4	0x55DB
0x8FB6A5	0x55DE
0x8FB6A6	0x55E2
0x8FB6A7	0x55E9
0x8FB6A8	0x55F6
0x8FB6A9	0x55FF
0x8FB6AA	0x5605
0x8FB6AB	0x5608
0x8FB6AC	0x560A
0x8FB6AD	0x560D
0x8FB6AE	0x560E
0x8FB6AF	0x560F
0x8FB6B0	0x5610
0x8FB6B1	0x5611
0x8FB6B2	0x5612
0x8FB6B3	0x5619
0x8FB6B4	0x562C
0x8FB6B5	0x5630
0x8FB6B6	0x5633
0x8FB6B7	0x5635
0x8FB6B8	0x5637
0x8FB6B9	0x5639
0x8FB6BA	0x563B
0x8FB6BB	0x563C
0x8FB6BC	0x563D
0x8FB6BD	0x563F
0x8FB6BE	0x5640
0x8FB6BF	0x5641
0x8FB6C0	0x5643
0x8FB6C1	0x5644
0x8FB6C2	0x5646
0x8FB6C3	0x5649
0x8FB6C4	0x564B
0x8FB6C5	0x564D
0x8FB6C6	0x564F
0x8FB6C7	0x5654
0x8FB6C8	0x565E
0x8FB6C9	0x5660
0x8FB6CA	0x5661
0x8FB6CB	0x5662
0x8FB6CC	0x5663
0x8FB6CD	0x5666
0x8FB6CE	0x5669
0x8FB6CF	0x566D
0x8FB6D0	0x566F
0x8FB6D1	0x5671
0x8FB6D2	0x5672
0x8FB6D3	0x5675
0x8FB6D4	0x5684
0x8FB6D5	0x5685
0x8FB6D6	0x5688
0x8FB6D7	0x568B
0x8FB6D8	0x568C
0x8FB6D9	0x5695
0x8FB6DA	0x5699
0x8FB6DB	0x569A
0x8FB6DC	0x569D
0x8FB6DD	0x569E
0x8FB6DE	0x569F
0x8FB6DF	0x56A6
0x8FB6E0	0x56A7
0x8FB6E1	0x56A8
0x8FB6E2	0x56A9
0x8FB6E3	0x56AB
0x8FB6E4	0x56AC
0x8FB6E5	0x56AD
0x8FB6E6	0x56B1
0x8FB6E7	0x56B3
0x8FB6E8	0x56B7
0x8FB6E9	0x56BE
0x8FB6EA	0x56C5
0x8FB6EB	0x56C9
0x8FB6EC	0x56CA
0x8FB6ED	0x56CB
0x8FB6EE	0x56CF
0x8FB6EF	0x56D0
0x8FB6F0	0x56CC
0x8FB6F1	0x56CD
0x8FB6F2	0x56D9
0x8FB6F3	0x56DC
0x8FB6F4	0x56DD
0x8FB6F5	0x56DF
0x8FB6F6	0x56E1
0x8FB6F7	0x56E4
0x8FB6F8	0x56E5
0x8FB6F9	0x56E6
0x8FB6FA	0x56E7
0x8FB6FB	0x56E8
0x8FB6FC	0x56F1
0x8FB6FD	0x56EB
0x8FB6FE	0x56ED
0x8FB7A1	0x56F6
0x8FB7A2	0x56F7
0x8FB7A3	0x5701
0x8FB7A4	0x5702
0x8FB7A5	0x5707
0x8FB7A6	0x570A
0x8FB7A7	0x570C
0x8FB7A8	0x5711
0x8FB7A9	0x5715
0x8FB7AA	0x571A
0x8FB7AB	0x571B
0x8FB7AC	0x571D
0x8FB7AD	0x5720
0x8FB7AE	0x5722
0x8FB7AF	0x5723
0x8FB7B0	0x5724
0x8FB7B1	0x5725
0x8FB7B2	0x5729
0x8FB7B3	0x572A
0x8FB7B4	0x572C
0x8FB7B5	0x572E
0x8FB7B6	0x572F
0x8FB7B7	0x5733
0x8FB7B8	0x5734
0x8FB7B9	0x573D
0x8FB7BA	0x573E
0x8FB7BB	0x573F
0x8FB7BC	0x5745
0x8FB7BD	0x5746
0x8FB7BE	0x574C
0x8FB7BF	0x574D
0x8FB7C0	0x5752
0x8FB7C1	0x5762
0x8FB7C2	0x5765
0x8FB7C3	0x5767
0x8FB7C4	0x5768
0x8FB7C5	0x576B
0x8FB7C6	0x576D
0x8FB7C7	0x576E
0x8FB7C8	0x576F
0x8FB7C9	0x5770
0x8FB7CA	0x5771
0x8FB7CB	0x5773
0x8FB7CC	0x5774
0x8FB7CD	0x5775
