0xF5A1	0xE000
0xF6C8	0xE085
0xF6C9	0xE086
0xF6CA	0xE087
0xF6CB	0xE088
0xF6CC	0xE089
0xF6CD	0xE08A
0xF6CE	0xE08B
0xF6CF	0xE08C
0xF6D0	0xE08D
0xF6D1	0xE08E
0xF6D2	0xE08F
0xF6D3	0xE090
0xF6D4	0xE091
0xF6D5	0xE092
0xF6D6	0xE093
0xF6D7	0xE094
0xF6D8	0xE095
0xF6D9	0xE096
0xF6DA	0xE097
0xF6DB	0xE098
0xF6DC	0xE099
0xF6DD	0xE09A
0xF6DE	0xE09B
0xF6DF	0xE09C
0xF6E0	0xE09D
0xF6E1	0xE09E
0xF6E2	0xE09F
0xF6E3	0xE0A0
0xF6E4	0xE0A1
0xF6E5	0xE0A2
0xF6E6	0xE0A3
0xF6E7	0xE0A4
0xF6E8	0xE0A5
0xF6E9	0xE0A6
0xF6EA	0xE0A7
0xF6EB	0xE0A8
0xF6EC	0xE0A9
0xF6ED	0xE0AA
0xF6EE	0xE0AB
0xF6EF	0xE0AC
0xF6F0	0xE0AD
0xF6F1	0xE0AE
0xF6F2	0xE0AF
0xF6F3	0xE0B0
0xF6F4	0xE0B1
0xF6F5	0xE0B2
0xF6F6	0xE0B3
0xF6F7	0xE0B4
0xF6F8	0xE0B5
0xF6F9	0xE0B6
0xF6FA	0xE0B7
0xF6FB	0xE0B8
0xF6FC	0xE0B9
0xF6FD	0xE0BA
0xF6FE	0xE0BB
0xF7A1	0xE0BC
0xF7A2	0xE0BD
0xF7A3	0xE0BE
0xF7A4	0xE0BF
0xF7A5	0xE0C0
0xF7A6	0xE0C1
0xF7A7	0xE0C2
0xF7A8	0xE0C3
0xF7A9	0xE0C4
0xF7AA	0xE0C5
0xF7AB	0xE0C6
0xF7AC	0xE0C7
0xF7AD	0xE0C8
0xF7AE	0xE0C9
0xF7AF	0xE0CA
0xF7B0	0xE0CB
0xF7B1	0xE0CC
0xF7B2	0xE0CD
0xF7B3	0xE0CE
0xF7B4	0xE0CF
0xF7B5	0xE0D0
0xF7B6	0xE0D1
0xF7B7	0xE0D2
0xF7B8	0xE0D3
0xF7B9	0xE0D4
0xF7BA	0xE0D5
0xF7BB	0xE0D6
0xF7BC	0xE0D7
0xF7BD	0xE0D8
0xF7BE	0xE0D9
0xF7BF	0xE0DA
0xF7C0	0xE0DB
0xF7C1	0xE0DC
0xF7C2	0xE0DD
0xF7C3	0xE0DE
0xF7C4	0xE0DF
0xF7C5	0xE0E0
0xF7C6	0xE0E1
0xF7C7	0xE0E2
0xF7C8	0xE0E3
0xF7C9	0xE0E4
0xF7CA	0xE0E5
0xF7CB	0xE0E6
0xF7CC	0xE0E7
0xF7CD	0xE0E8
0xF7CE	0xE0E9
0xF7CF	0xE0EA
0xF7D0	0xE0EB
0xF7D1	0xE0EC
0xF7D2	0xE0ED
0xF7D3	0xE0EE
0xF7D4	0xE0EF
0xF7D5	0xE0F0
0xF7D6	0xE0F1
0xF7D7	0xE0F2
0xF7D8	0xE0F3
0xF7D9	0xE0F4
0xF7DA	0xE0F5
0xF7DB	0xE0F6
0xF7DC	0xE0F7
0xF7DD	0xE0F8
0xF7DE	0xE0F9
0xF7DF	0xE0FA
0xF7E0	0xE0FB
0xF7E1	0xE0FC
0xF7E2	0xE0FD
0xF7E3	0xE0FE
0xF7E4	0xE0FF
0xF7E5	0xE100
0xF7E6	0xE101
0xF7E7	0xE102
0xF7E8	0xE103
0xF7E9	0xE104
0xF7EA	0xE105
0xF7EB	0xE106
0xF7EC	0xE107
0xF7ED	0xE108
0xF7EE	0xE109
0xF7EF	0xE10A
0xF7F0	0xE10B
0xF7F1	0xE10C
0xF7F2	0xE10D
0xF7F3	0xE10E
0xF7F4	0xE10F
0xF7F5	0xE110
0xF7F6	0xE111
0xF7F7	0xE112
0xF7F8	0xE113
0xF7F9	0xE114
0xF7FA	0xE115
0xF7FB	0xE116
0xF7FC	0xE117
0xF7FD	0xE118
0xF7FE	0xE119
0xF8A1	0xE11A
0xF8A2	0xE11B
0xF8A3	0xE11C
0xF8A4	0xE11D
0xF8A5	0xE11E
0xF8A6	0xE11F
0xF8A7	0xE120
0xF8A8	0xE121
0xF8A9	0xE122
0xF8AA	0xE123
0xF8AB	0xE124
0xF8AC	0xE125
0xF8AD	0xE126
0xF8AE	0xE127
0xF8AF	0xE128
0xF8B0	0xE129
0xF8B1	0xE12A
0xF8B2	0xE12B
0xF8B3	0xE12C
0xF8B4	0xE12D
0xF8B5	0xE12E
0xF8B6	0xE12F
0xF8B7	0xE130
0xF8B8	0xE131
0xF8B9	0xE132
0xF8BA	0xE133
0xF8BB	0xE134
0xF8BC	0xE135
0xF8BD	0xE136
0xF8BE	0xE137
0xF8BF	0xE138
0xF8C0	0xE139
0xF8C1	0xE13A
0xF8C2	0xE13B
0xF8C3	0xE13C
0xF8C4	0xE13D
0xF8C5	0xE13E
0xF8C6	0xE13F
0xF8C7	0xE140
0xF8C8	0xE141
0xF8C9	0xE142
0xF8CA	0xE143
0xF8CB	0xE144
0xF8CC	0xE145
0xF8CD	0xE146
0xF8CE	0xE147
0xF8CF	0xE148
0xF8D0	0xE149
0xF8D1	0xE14A
0xF8D2	0xE14B
0xF8D3	0xE14C
0xF8D4	0xE14D
0xF8D5	0xE14E
0xF8D6	0xE14F
0xF8D7	0xE150
0xF8D8	0xE151
0xF8D9	0xE152
0xF8DA	0xE153
0xF8DB	0xE154
0xF8DC	0xE155
0xF8DD	0xE156
0xF8DE	0xE157
0xF8DF	0xE158
0xF8E0	0xE159
0xF8E1	0xE15A
0xF8E2	0xE15B
0xF8E3	0xE15C
0xF8E4	0xE15D
0xF8E5	0xE15E
0xF8E6	0xE15F
0xF8E7	0xE160
0xF8E8	0xE161
0xF8E9	0xE162
0xF8EA	0xE163
0xF8EB	0xE164
0xF8EC	0xE165
0xF8ED	0xE166
0xF8EE	0xE167
0xF8EF	0xE168
0xF8F0	0xE169
0xF8F1	0xE16A
0xF8F2	0xE16B
0xF8F3	0xE16C
0xF8F4	0xE16D
0xF8F5	0xE16E
0xF8F6	0xE16F
0xF8F7	0xE170
0xF8F8	0xE171
0xF8F9	0xE172
0xF8FA	0xE173
0xF8FB	0xE174
0xF8FC	0xE175
0xF8FD	0xE176
0xF8FE	0xE177
0xF9A1	0xE178
0xF9A2	0xE179
0xF9A3	0xE17A
0xF9A4	0xE17B
0xF9A5	0xE17C
0xF9A6	0xE17D
0xF9A7	0xE17E
0xF9A8	0xE17F
0xF9A9	0xE180
0xF9AA	0xE181
0xF9AB	0xE182
0xF9AC	0xE183
0xF9AD	0xE184
0xF9AE	0xE185
0xF9AF	0xE186
0xF9B0	0xE187
0xF9B1	0xE188
0xF9B2	0xE189
0xF9B3	0xE18A
0xF9B4	0xE18B
0xF9B5	0xE18C
0xF9B6	0xE18D
0xF9B7	0xE18E
0xF9B8	0xE18F
0xF9B9	0xE190
0xF9BA	0xE191
0xF9BB	0xE192
0xF9BC	0xE193
0xF9BD	0xE194
0xF9BE	0xE195
0xF9BF	0xE196
0xF9C0	0xE197
0xF9C1	0xE198
0xF9C2	0xE199
0xF9C3	0xE19A
0xF9C4	0xE19B
0xF9C5	0xE19C
0xF9C6	0xE19D
0xF9C7	0xE19E
0xF9C8	0xE19F
0xF9C9	0xE1A0
0xF9CA	0xE1A1
0xF9CB	0xE1A2
0xF9CC	0xE1A3
0xF9CD	0xE1A4
0xF9CE	0xE1A5
0xF9CF	0xE1A6
0xF9D0	0xE1A7
0xF9D1	0xE1A8
0xF9D2	0xE1A9
0xF9D3	0xE1AA
0xF9D4	0xE1AB
0xF9D5	0xE1AC
0xF9D6	0xE1AD
0xF9D7	0xE1AE
0xF9D8	0xE1AF
0xF9D9	0xE1B0
0xF9DA	0xE1B1
0xF9DB	0xE1B2
0xF9DC	0xE1B3
0xF9DD	0xE1B4
0xF9DE	0xE1B5
0xF9DF	0xE1B6
0xF9E0	0xE1B7
0xF9E1	0xE1B8
0xF9E2	0xE1B9
0xF9E3	0xE1BA
0xF9E4	0xE1BB
0xF9E5	0xE1BC
0xF9E6	0xE1BD
0xF9E7	0xE1BE
0xF9E8	0xE1BF
0xF9E9	0xE1C0
0xF9EA	0xE1C1
0xF9EB	0xE1C2
0xF9EC	0xE1C3
0xF9ED	0xE1C4
0xF9EE	0xE1C5
0xF9EF	0xE1C6
0xF9F0	0xE1C7
0xF9F1	0xE1C8
0xF9F2	0xE1C9
0xF9F3	0xE1CA
0xF9F4	0xE1CB
0xF9F5	0xE1CC
0xF9F6	0xE1CD
0xF9F7	0xE1CE
0xF9F8	0xE1CF
0xF9F9	0xE1D0
0xF9FA	0xE1D1
0xF9FB	0xE1D2
0xF9FC	0xE1D3
0xF9FD	0xE1D4
0xF9FE	0xE1D5
0xFAA1	0xE1D6
0xFAA2	0xE1D7
0xFAA3	0xE1D8
0xFAA4	0xE1D9
0xFAA5	0xE1DA
0xFAA6	0xE1DB
0xFAA7	0xE1DC
0xFAA8	0xE1DD
0xFAA9	0xE1DE
0xFAAA	0xE1DF
0xFAAB	0xE1E0
0xFAAC	0xE1E1
0xFAAD	0xE1E2
0xFAAE	0xE1E3
0xFAAF	0xE1E4
0xFAB0	0xE1E5
0xFAB1	0xE1E6
0xFAB2	0xE1E7
0xFAB3	0xE1E8
0xFAB4	0xE1E9
0xFAB5	0xE1EA
0xFAB6	0xE1EB
0xFAB7	0xE1EC
0xFAB8	0xE1ED
0xFAB9	0xE1EE
0xFABA	0xE1EF
0xFABB	0xE1F0
0xFABC	0xE1F1
0xFABD	0xE1F2
0xFABE	0xE1F3
0xFABF	0xE1F4
0xFAC0	0xE1F5
0xFAC1	0xE1F6
0xFAC2	0xE1F7
0xFAC3	0xE1F8
0xFAC4	0xE1F9
0xFAC5	0xE1FA
0xFAC6	0xE1FB
0xFAC7	0xE1FC
0xFAC8	0xE1FD
0xFAC9	0xE1FE
0xFACA	0xE1FF
0xFACB	0xE200
0xFACC	0xE201
0xFACD	0xE202
0xFACE	0xE203
0xFACF	0xE204
0xFAD0	0xE205
0xFAD1	0xE206
0xFAD2	0xE207
0xFAD3	0xE208
0xFAD4	0xE209
0xFAD5	0xE20A
0xFAD6	0xE20B
0xFAD7	0xE20C
0xFAD8	0xE20D
0xFAD9	0xE20E
0xFADA	0xE20F
0xFADB	0xE210
0xFADC	0xE211
0xFADD	0xE212
0xFADE	0xE213
0xFADF	0xE214
0xFAE0	0xE215
0xFAE1	0xE216
0xFAE2	0xE217
0xFAE3	0xE218
0xFAE4	0xE219
0xFAE5	0xE21A
0xFAE6	0xE21B
0xFAE7	0xE21C
0xFAE8	0xE21D
0xFAE9	0xE21E
0xFAEA	0xE21F
0xFAEB	0xE220
0xFAEC	0xE221
0xFAED	0xE222
0xFAEE	0xE223
0xFAEF	0xE224
0xFAF0	0xE225
0xFAF1	0xE226
0xFAF2	0xE227
0xFAF3	0xE228
0xFAF4	0xE229
0xFAF5	0xE22A
0xFAF6	0xE22B
0xFAF7	0xE22C
0xFAF8	0xE22D
0xFAF9	0xE22E
0xFAFA	0xE22F
0xFAFB	0xE230
0xFAFC	0xE231
0xFAFD	0xE232
0xFAFE	0xE233
0xFBA1	0xE234
0xFBA2	0xE235
0xFBA3	0xE236
0xFBA4	0xE237
0xFBA5	0xE238
0xFBA6	0xE239
0xFBA7	0xE23A
0xFBA8	0xE23B
0xFBA9	0xE23C
0xFBAA	0xE23D
0xFBAB	0xE23E
0xFBAC	0xE23F
0xFBAD	0xE240
0xFBAE	0xE241
0xFBAF	0xE242
0xFBB0	0xE243
0xFBB1	0xE244
0xFBB2	0xE245
0xFBB3	0xE246
0xFBB4	0xE247
0xFBB5	0xE248
0xFBB6	0xE249
0xFBB7	0xE24A
0xFBB8	0xE24B
0xFBB9	0xE24C
0xFBBA	0xE24D
0xFBBB	0xE24E
0xFBBC	0xE24F
0xFBBD	0xE250
0xFBBE	0xE251
0xFBBF	0xE252
0xFBC0	0xE253
0xFBC1	0xE254
0xFBC2	0xE255
0xFBC3	0xE256
0xFBC4	0xE257
0xFBC5	0xE258
0xFBC6	0xE259
0xFBC7	0xE25A
0xFBC8	0xE25B
0xFBC9	0xE25C
0xFBCA	0xE25D
0xFBCB	0xE25E
0xFBCC	0xE25F
0xFBCD	0xE260
0xFBCE	0xE261
0xFBCF	0xE262
0xFBD0	0xE263
0xFBD1	0xE264
0xFBD2	0xE265
0xFBD3	0xE266
0xFBD4	0xE267
0xFBD5	0xE268
0xFBD6	0xE269
0xFBD7	0xE26A
0xFBD8	0xE26B
0xFBD9	0xE26C
0xFBDA	0xE26D
0xFBDB	0xE26E
0xFBDC	0xE26F
0xFBDD	0xE270
0xFBDE	0xE271
0xFBDF	0xE272
0xFBE0	0xE273
0xFBE1	0xE274
0xFBE2	0xE275
0xFBE3	0xE276
0xFBE4	0xE277
0xFBE5	0xE278
0xFBE6	0xE279
0xFBE7	0xE27A
0xFBE8	0xE27B
0xFBE9	0xE27C
0xFBEA	0xE27D
0xFBEB	0xE27E
0xFBEC	0xE27F
0xFBED	0xE280
0xFBEE	0xE281
0xFBEF	0xE282
0xFBF0	0xE283
0xFBF1	0xE284
0xFBF2	0xE285
0xFBF3	0xE286
0xFBF4	0xE287
0xFBF5	0xE288
0xFBF6	0xE289
0xFBF7	0xE28A
0xFBF8	0xE28B
0xFBF9	0xE28C
0xFBFA	0xE28D
0xFBFB	0xE28E
0xFBFC	0xE28F
0xFBFD	0xE290
0xFBFE	0xE291
0xFCA1	0xE292
0xFCA2	0xE293
0xFCA3	0xE294
0xFCA4	0xE295
0xFCA5	0xE296
0xFCA6	0xE297
0xFCA7	0xE298
0xFCA8	0xE299
0xFCA9	0xE29A
0xFCAA	0xE29B
0xFCAB	0xE29C
0xFCAC	0xE29D
0xFCAD	0xE29E
0xFCAE	0xE29F
0xFCAF	0xE2A0
0xFCB0	0xE2A1
0xFCB1	0xE2A2
0xFCB2	0xE2A3
0xFCB3	0xE2A4
0xFCB4	0xE2A5
0xFCB5	0xE2A6
0xFCB6	0xE2A7
0xFCB7	0xE2A8
0xFCB8	0xE2A9
0xFCB9	0xE2AA
0xFCBA	0xE2AB
0xFCBB	0xE2AC
0xFCBC	0xE2AD
0xFCBD	0xE2AE
0xFCBE	0xE2AF
0xFCBF	0xE2B0
0xFCC0	0xE2B1
0xFCC1	0xE2B2
0xFCC2	0xE2B3
0xFCC3	0xE2B4
0xFCC4	0xE2B5
0xFCC5	0xE2B6
0xFCC6	0xE2B7
0xFCC7	0xE2B8
0xFCC8	0xE2B9
0xFCC9	0xE2BA
0xFCCA	0xE2BB
0xFCCB	0xE2BC
0xFCCC	0xE2BD
0xFCCD	0xE2BE
0xFCCE	0xE2BF
0xFCCF	0xE2C0
0xFCD0	0xE2C1
0xFCD1	0xE2C2
0xFCD2	0xE2C3
0xFCD3	0xE2C4
0xFCD4	0xE2C5
0xFCD5	0xE2C6
0xFCD6	0xE2C7
0xFCD7	0xE2C8
0xFCD8	0xE2C9
0xFCD9	0xE2CA
0xFCDA	0xE2CB
0xFCDB	0xE2CC
0xFCDC	0xE2CD
0xFCDD	0xE2CE
0xFCDE	0xE2CF
0xFCDF	0xE2D0
0xFCE0	0xE2D1
0xFCE1	0xE2D2
0xFCE2	0xE2D3
0xFCE3	0xE2D4
0xFCE4	0xE2D5
0xFCE5	0xE2D6
0xFCE6	0xE2D7
0xFCE7	0xE2D8
0xFCE8	0xE2D9
0xFCE9	0xE2DA
0xFCEA	0xE2DB
0xFCEB	0xE2DC
0xFCEC	0xE2DD
0xFCED	0xE2DE
0xFCEE	0xE2DF
0xFCEF	0xE2E0
0xFCF0	0xE2E1
0xFCF1	0xE2E2
0xFCF2	0xE2E3
0xFCF3	0xE2E4
0xFCF4	0xE2E5
0xFCF5	0xE2E6
0xFCF6	0xE2E7
0xFCF7	0xE2E8
0xFCF8	0xE2E9
0xFCF9	0xE2EA
0xFCFA	0xE2EB
0xFCFB	0xE2EC
0xFCFC	0xE2ED
0xFCFD	0xE2EE
0xFCFE	0xE2EF
0xFDA1	0xE2F0
0xFDA2	0xE2F1
0xFDA3	0xE2F2
0xFDA4	0xE2F3
0xFDA5	0xE2F4
0xFDA6	0xE2F5
0xFDA7	0xE2F6
0xFDA8	0xE2F7
0xFDA9	0xE2F8
0xFDAA	0xE2F9
0xFDAB	0xE2FA
0xFDAC	0xE2FB
0xFDAD	0xE2FC
0xFDAE	0xE2FD
0xFDAF	0xE2FE
0xFDB0	0xE2FF
0xFDB1	0xE300
0xFDB2	0xE301
0xFDB3	0xE302
0xFDB4	0xE303
0xFDB5	0xE304
0xFDB6	0xE305
0xFDB7	0xE306
0xFDB8	0xE307
0xFDB9	0xE308
0xFDBA	0xE309
0xFDBB	0xE30A
0xFDBC	0xE30B
0xFDBD	0xE30C
0xFDBE	0xE30D
0xFDBF	0xE30E
0xFDC0	0xE30F
0xFDC1	0xE310
0xFDC2	0xE311
0xFDC3	0xE312
0xFDC4	0xE313
0xFDC5	0xE314
0xFDC6	0xE315
0xFDC7	0xE316
0xFDC8	0xE317
0xFDC9	0xE318
0xFDCA	0xE319
0xFDCB	0xE31A
0xFDCC	0xE31B
0xFDCD	0xE31C
0xFDCE	0xE31D
0xFDCF	0xE31E
0xFDD0	0xE31F
0xFDD1	0xE320
0xFDD2	0xE321
0xFDD3	0xE322
0xFDD4	0xE323
0xFDD5	0xE324
0xFDD6	0xE325
0xFDD7	0xE326
0xFDD8	0xE327
0xFDD9	0xE328
0xFDDA	0xE329
0xFDDB	0xE32A
0xFDDC	0xE32B
0xFDDD	0xE32C
0xFDDE	0xE32D
0xFDDF	0xE32E
0xFDE0	0xE32F
0xFDE1	0xE330
0xFDE2	0xE331
0xFDE3	0xE332
0xFDE4	0xE333
0xFDE5	0xE334
0xFDE6	0xE335
0xFDE7	0xE336
0xFDE8	0xE337
0xFDE9	0xE338
0xFDEA	0xE339
0xFDEB	0xE33A
0xFDEC	0xE33B
0xFDED	0xE33C
0xFDEE	0xE33D
0xFDEF	0xE33E
0xFDF0	0xE33F
0xFDF1	0xE340
0xFDF2	0xE341
0xFDF3	0xE342
0xFDF4	0xE343
0xFDF5	0xE344
0xFDF6	0xE345
0xFDF7	0xE346
0xFDF8	0xE347
0xFDF9	0xE348
0xFDFA	0xE349
0xFDFB	0xE34A
0xFDFC	0xE34B
0xFDFD	0xE34C
0xFDFE	0xE34D
0xFEA1	0xE34E
0xFEA2	0xE34F
0xFEA3	0xE350
0xFEA4	0xE351
0xFEA5	0xE352
0xFEA6	0xE353
0xFEA7	0xE354
0xFEA8	0xE355
0xFEA9	0xE356
0xFEAA	0xE357
0xFEAB	0xE358
0xFEAC	0xE359
0xFEAD	0xE35A
0xFEAE	0xE35B
0xFEAF	0xE35C
0xFEB0	0xE35D
0xFEB1	0xE35E
0xFEB2	0xE35F
0xFEB3	0xE360
0xFEB4	0xE361
0xFEB5	0xE362
0xFEB6	0xE363
0xFEB7	0xE364
0xFEB8	0xE365
0xFEB9	0xE366
0xFEBA	0xE367
0xFEBB	0xE368
0xFEBC	0xE369
0xFEBD	0xE36A
0xFEBE	0xE36B
0xFEBF	0xE36C
0xFEC0	0xE36D
0xFEC1	0xE36E
0xFEC2	0xE36F
0xFEC3	0xE370
0xFEC4	0xE371
0xFEC5	0xE372
0xFEC6	0xE373
0xFEC7	0xE374
0xFEC8	0xE375
0xFEC9	0xE376
0xFECA	0xE377
0xFECB	0xE378
0xFECC	0xE379
0xFECD	0xE37A
0xFECE	0xE37B
0xFECF	0xE37C
0xFED0	0xE37D
0xFED1	0xE37E
0xFED2	0xE37F
0xFED3	0xE380
0xFED4	0xE381
0xFED5	0xE382
0xFED6	0xE383
0xFED7	0xE384
0xFED8	0xE385
0xFED9	0xE386
0xFEDA	0xE387
0xFEDB	0xE388
0xFEDC	0xE389
0xFEDD	0xE38A
0xFEDE	0xE38B
0xFEDF	0xE38C
0xFEE0	0xE38D
0xFEE1	0xE38E
0xFEE2	0xE38F
0xFEE3	0xE390
0xFEE4	0xE391
0xFEE5	0xE392
0xFEE6	0xE393
0xFEE7	0xE394
0xFEE8	0xE395
0xFEE9	0xE396
0xFEEA	0xE397
0xFEEB	0xE398
0xFEEC	0xE399
0xFEED	0xE39A
0xFEEE	0xE39B
0xFEEF	0xE39C
0xFEF0	0xE39D
0xFEF1	0xE39E
0xFEF2	0xE39F
0xFEF3	0xE3A0
0xFEF4	0xE3A1
0xFEF5	0xE3A2
0xFEF6	0xE3A3
0xFEF7	0xE3A4
0xFEF8	0xE3A5
0xFEF9	0xE3A6
0xFEFA	0xE3A7
0xFEFB	0xE3A8
0xFEFC	0xE3A9
0xFEFD	0xE3AA
0xFEFE	0xE3AB
0x8FF5A1	0xE3AC
0x8FF5A2	0xE3AD
0x8FF5A3	0xE3AE
0x8FF5A4	0xE3AF
0x8FF5A5	0xE3B0
0x8FF5A6	0xE3B1
0x8FF5A7	0xE3B2
0x8FF5A8	0xE3B3
0x8FF5A9	0xE3B4
0x8FF5AA	0xE3B5
0x8FF5AB	0xE3B6
0x8FF5AC	0xE3B7
0x8FF5AD	0xE3B8
0x8FF5AE	0xE3B9
0x8FF5AF	0xE3BA
0x8FF5B0	0xE3BB
0x8FF5B1	0xE3BC
0x8FF5B2	0xE3BD
0x8FF5B3	0xE3BE
0x8FF5B4	0xE3BF
0x8FF5B5	0xE3C0
0x8FF5B6	0xE3C1
0x8FF5B7	0xE3C2
0x8FF5B8	0xE3C3
0x8FF5B9	0xE3C4
0x8FF5BA	0xE3C5
0x8FF5BB	0xE3C6
0x8FF5BC	0xE3C7
0x8FF5BD	0xE3C8
0x8FF5BE	0xE3C9
0x8FF5BF	0xE3CA
0x8FF5C0	0xE3CB
0x8FF5C1	0xE3CC
0x8FF5C2	0xE3CD
0x8FF5C3	0xE3CE
0x8FF5C4	0xE3CF
0x8FF5C5	0xE3D0
0x8FF5C6	0xE3D1
0x8FF5C7	0xE3D2
0x8FF5C8	0xE3D3
0x8FF5C9	0xE3D4
0x8FF5CA	0xE3D5
0x8FF5CB	0xE3D6
0x8FF5CC	0xE3D7
0x8FF5CD	0xE3D8
0x8FF5CE	0xE3D9
0x8FF5CF	0xE3DA
0x8FF5D0	0xE3DB
0x8FF5D1	0xE3DC
0x8FF5D2	0xE3DD
0x8FF5D3	0xE3DE
0x8FF5D4	0xE3DF
0x8FF5D5	0xE3E0
0x8FF5D6	0xE3E1
0x8FF5D7	0xE3E2
0x8FF5D8	0xE3E3
0x8FF5D9	0xE3E4
0x8FF5DA	0xE3E5
0x8FF5DB	0xE3E6
0x8FF5DC	0xE3E7
0x8FF5DD	0xE3E8
0x8FF5DE	0xE3E9
0x8FF5DF	0xE3EA
0x8FF5E0	0xE3EB
0x8FF5E1	0xE3EC
0x8FF5E2	0xE3ED
0x8FF5E3	0xE3EE
0x8FF5E4	0xE3EF
0x8FF5E5	0xE3F0
0x8FF5E6	0xE3F1
0x8FF5E7	0xE3F2
0x8FF5E8	0xE3F3
0x8FF5E9	0xE3F4
0x8FF5EA	0xE3F5
0x8FF5EB	0xE3F6
0x8FF5EC	0xE3F7
0x8FF5ED	0xE3F8
0x8FF5EE	0xE3F9
0x8FF5EF	0xE3FA
0x8FF5F0	0xE3FB
0x8FF5F1	0xE3FC
0x8FF5F2	0xE3FD
0x8FF5F3	0xE3FE
0x8FF5F4	0xE3FF
0x8FF5F5	0xE400
0x8FF5F6	0xE401
0x8FF5F7	0xE402
0x8FF5F8	0xE403
0x8FF5F9	0xE404
0x8FF5FA	0xE405
0x8FF5FB	0xE406
0x8FF5FC	0xE407
0x8FF5FD	0xE408
0x8FF5FE	0xE409
0x8FF6A1	0xE40A
0x8FF6A2	0xE40B
0x8FF6A3	0xE40C
0x8FF6A4	0xE40D
0x8FF6A5	0xE40E
0x8FF6A6	0xE40F
0x8FF6A7	0xE410
0x8FF6A8	0xE411
0x8FF6A9	0xE412
0x8FF6AA	0xE413
0x8FF6AB	0xE414
0x8FF6AC	0xE415
0x8FF6AD	0xE416
0x8FF6AE	0xE417
0x8FF6AF	0xE418
0x8FF6B0	0xE419
0x8FF6B1	0xE41A
0x8FF6B2	0xE41B
0x8FF6B3	0xE41C
0x8FF6B4	0xE41D
0x8FF6B5	0xE41E
0x8FF6B6	0xE41F
0x8FF6B7	0xE420
0x8FF6B8	0xE421
0x8FF6B9	0xE422
0x8FF6BA	0xE423
0x8FF6BB	0xE424
0x8FF6BC	0xE425
0x8FF6BD	0xE426
